组ID,视频类型,文件名,视频ID,视频链接,哈希值
组99,重复视频,7407743049347943689.mp4,7407743049347943689,https://douyin.com/?modal_id=7407743049347943689,18d54f5b3b8ab1fa458246bf6b95ea87dbfdbfd6bcc0828f2ffe3e81fad9c57e
组99,重复视频,7406632595414322469.mp4,7406632595414322469,https://douyin.com/?modal_id=7406632595414322469,94ab1b0377cec4563050d3e55febbc562aecb9a8f57d54578fe1b755d434a5dc
组99,重复视频,7406219900261256458.mp4,7406219900261256458,https://douyin.com/?modal_id=7406219900261256458,d78386e568adc12f2ee867cf2323423eec54ce03bfa4851fd71ebaefbd75c658
组99,重复视频,7403995169055427866.mp4,7403995169055427866,https://douyin.com/?modal_id=7403995169055427866,e7400fd04bb9da914284cf20575baaef53ac61139ddf664f5e00c9c11fde3d88
组99,重复视频,7403686752264686886.mp4,7403686752264686886,https://douyin.com/?modal_id=7403686752264686886,ddbe41a8b43f33c219bed82e766a42fd38d971efa19670e01025fb29628d79d9
组99,重复视频,7403670311746456883.mp4,7403670311746456883,https://douyin.com/?modal_id=7403670311746456883,cd12162b4fd33c2621f567acf3f1820a5de385c90adbeea120184545ed37fabd
组99,重复视频,7403313169046801714.mp4,7403313169046801714,https://douyin.com/?modal_id=7403313169046801714,fe7a5ce10c6f7cc5e827a91d2d8dc1f0f37bfd20914591ebe7e923fb49d59e2b
组99,重复视频,7398005669183507750.mp4,7398005669183507750,https://douyin.com/?modal_id=7398005669183507750,ca813fde5bb8a4a46848c39a419961bc33e2edb7624619c0b4d4459bc840cf47
组100,原视频,7411753695018372393.mp4,7411753695018372393,https://douyin.com/?modal_id=7411753695018372393,34149c44be3aa7f27eef7aecb9946a18be2d2f046b80f7113a41109c7d5fad90
组100,重复视频,7411477866027699475.mp4,7411477866027699475,https://douyin.com/?modal_id=7411477866027699475,6ad132db1e13868945b33ec1e21f75f897bc3e53b9e84dace12c197bc6ca1937
组100,重复视频,7409988006041357587.mp4,7409988006041357587,https://douyin.com/?modal_id=7409988006041357587,0a758ba0da5e01de2809bcf91a1ed95f6970513f0416d5b558ffe3eef5c23002
组100,重复视频,7409909004572314934.mp4,7409909004572314934,https://douyin.com/?modal_id=7409909004572314934,069538296fed02d2df154717aaeb0d4811533f4bb240bf07ecdd3a1f32fd00df
组100,重复视频,7408911889779936575.mp4,7408911889779936575,https://douyin.com/?modal_id=7408911889779936575,a6e00bf7e70284a4e58e595c84feba834375901e8aa04c4d0aa9e4942f6fda48
组100,重复视频,7408878970327862591.mp4,7408878970327862591,https://douyin.com/?modal_id=7408878970327862591,a970a0dd22a11d630961ab06472ae421baf4ad519b2b3b61207c665fd7136774
组100,重复视频,7407677921990692123.mp4,7407677921990692123,https://douyin.com/?modal_id=7407677921990692123,48d2032b574a7e4a077d219b4e4f9c18bfc640734e6ab73c6ab43da509c450d6
